"ANO","NIVEL","CODMUNRES","POPR_RA","POPR_RE"
"2015","MUNICIPIO",354510,4417,4349
"2015","MUNICIPIO",354515,7814,7714
"2015","MUNICIPIO",354520,113368,109267
"2015","MUNICIPIO",354530,43574,32230
"2015","MUNICIPIO",354540,8327,5495
"2015","MUNICIPIO",354550,2979,2926
"2015","MUNICIPIO",354560,15045,15045
"2015","MUNICIPIO",354570,5971,5892
"2015","MUNICIPIO",354580,188646,188646
"2015","MUNICIPIO",354600,14534,12820
"2015","MUNICIPIO",354610,1910,1841
"2015","MUNICIPIO",354620,3300,3300
"2015","MUNICIPIO",354625,1603,1573
"2015","MUNICIPIO",354630,31729,31729
"2015","MUNICIPIO",354640,43999,42005
"2015","MUNICIPIO",354650,5681,5681
"2015","MUNICIPIO",354660,31348,31348
"2015","MUNICIPIO",354670,24474,24474
"2015","MUNICIPIO",354680,44000,41000
"2015","MUNICIPIO",354690,8279,8279
"2015","MUNICIPIO",354700,4856,4772
"2015","MUNICIPIO",354710,2937,2463
"2015","MUNICIPIO",354720,1291,1260
"2015","MUNICIPIO",354730,126574,45395
"2015","MUNICIPIO",354740,1821,1773
"2015","MUNICIPIO",354750,NA,NA
"2015","MUNICIPIO",354760,24557,24177
"2015","MUNICIPIO",354765,1082,1045
"2015","MUNICIPIO",354770,18886,18639
"2015","MUNICIPIO",354780,708000,700000
"2015","MUNICIPIO",354790,6722,6722
"2015","MUNICIPIO",354800,20226,19807
"2015","MUNICIPIO",354805,6396,6396
"2015","MUNICIPIO",354810,3484,3358
"2015","MUNICIPIO",354820,3855,1972
"2015","MUNICIPIO",354830,2841,2584
"2015","MUNICIPIO",354840,4216,4213
"2015","MUNICIPIO",354850,433966,433449
"2015","MUNICIPIO",354860,7185,5018
"2015","MUNICIPIO",354870,816925,765711
"2015","MUNICIPIO",354880,158024,158024
"2015","MUNICIPIO",354890,231721,231721
"2015","MUNICIPIO",354900,2524,2448
"2015","MUNICIPIO",354910,87835,86278
"2015","MUNICIPIO",354920,2433,2189
"2015","MUNICIPIO",354925,1538,1538
"2015","MUNICIPIO",354930,1737,1737
"2015","MUNICIPIO",354940,49010,49010
"2015","MUNICIPIO",354950,8456,8456
"2015","MUNICIPIO",354960,NA,NA
"2015","MUNICIPIO",354970,49564,48162
"2015","MUNICIPIO",354980,397146,410738
"2015","MUNICIPIO",354990,688322,661879
"2015","MUNICIPIO",354995,7042,4162
"2015","MUNICIPIO",355000,6050,5408
"2015","MUNICIPIO",355010,39057,37910
"2015","MUNICIPIO",355020,22890,18357
"2015","MUNICIPIO",355030,11872082,11530048
"2015","MUNICIPIO",355040,34284,27945
"2015","MUNICIPIO",355050,5280,5280
"2015","MUNICIPIO",355060,56834,36698
"2015","MUNICIPIO",355070,54653,39086
"2015","MUNICIPIO",355080,12355,12355
"2015","MUNICIPIO",355090,13496,13496
"2015","MUNICIPIO",355100,325324,254854
"2015","MUNICIPIO",355110,8329,4531
"2015","MUNICIPIO",355120,3151,2877
"2015","MUNICIPIO",355130,2846,2827
"2015","MUNICIPIO",355140,7378,7116
"2015","MUNICIPIO",355150,42784,42784
"2015","MUNICIPIO",355160,21517,17693
"2015","MUNICIPIO",355170,120000,120000
"2015","MUNICIPIO",355180,8553,6438
"2015","MUNICIPIO",355190,16200,16200
"2015","MUNICIPIO",355200,3916,3175
"2015","MUNICIPIO",355210,23809,21153
"2015","MUNICIPIO",355220,633746,619831
"2015","MUNICIPIO",355230,7132,7025
"2015","MUNICIPIO",355240,249169,238668
"2015","MUNICIPIO",355255,2498,2498
"2015","MUNICIPIO",355250,285280,258873
"2015","MUNICIPIO",355260,12103,12103
"2015","MUNICIPIO",355270,NA,NA
"2015","MUNICIPIO",355280,272177,257375
"2015","MUNICIPIO",355290,5285,5224
"2015","MUNICIPIO",355300,11095,10742
"2015","MUNICIPIO",355310,6205,6205
"2015","MUNICIPIO",355320,5605,5605
"2015","MUNICIPIO",355330,23214,23214
"2015","MUNICIPIO",355340,25400,24430
"2015","MUNICIPIO",355350,5232,4726
"2015","MUNICIPIO",355360,NA,NA
"2015","MUNICIPIO",355365,NA,NA
"2015","MUNICIPIO",355370,54458,54458
"2015","MUNICIPIO",355380,21245,20786
"2015","MUNICIPIO",355385,4641,2647
"2015","MUNICIPIO",355390,6364,6256
"2015","MUNICIPIO",355395,13840,13816
"2015","MUNICIPIO",355400,112839,103862
"2015","MUNICIPIO",355410,302331,291991
"2015","MUNICIPIO",355420,NA,NA
"2015","MUNICIPIO",355430,19348,18900
"2015","MUNICIPIO",355440,7342,7839
"2015","MUNICIPIO",355450,39922,36163
"2015","MUNICIPIO",355460,1821,1740
"2015","MUNICIPIO",355465,2149,1334
"2015","MUNICIPIO",355470,8882,8622
"2015","MUNICIPIO",355475,1664,1664
"2015","MUNICIPIO",355480,44421,35788
"2015","MUNICIPIO",355490,5303,4760
"2015","MUNICIPIO",355495,NA,NA
"2015","MUNICIPIO",355500,64326,63745
"2015","MUNICIPIO",355510,15066,15066
"2015","MUNICIPIO",355520,1597,1563
"2015","MUNICIPIO",355530,1624,1573
"2015","MUNICIPIO",355535,NA,NA
"2015","MUNICIPIO",355540,62356,25644
"2015","MUNICIPIO",355550,3276,3121
"2015","MUNICIPIO",355560,9968,9968
